"","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate","mean.rmse","mean.rank","list.rank","rmse.rank","ranks.rank","mean.final.rank"
"2110",5,23,250,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2111",5,23,300,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2112",5,23,300,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2113",5,23,300,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2114",5,23,300,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2115",5,23,300,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2116",5,23,350,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2117",5,23,350,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2118",5,23,350,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2119",5,23,350,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2120",5,23,350,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2121",5,23,400,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2122",5,23,400,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2123",5,23,400,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2124",5,23,400,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
